Dog,name,breed,age,weight,gender,sit(),bark(),author,address,range,bootUp(),decode()
Book,title,author,genre,publication date,pages,read(),summary(),transmissionType,bedrooms,luster,walk(),sing()
Movie,title,genre,rating,releaseDate,cast,play(),pause(),breed,hardness,fuelType,cook(),sit()
Video game,title,developer,gameModes,graphics,soundTrack,start(),save(),occupation,texture,GDP,sit(),run()
Country,population,area,major cities,languages,GDP,invade(),govern(),RAM,texture,developer,fly(),sing()
Car,brand,horsePower,price,fuelType,transmission type,drive(),refuel(),population,area,GPU,dance(),teleport()
House,size,bedrooms,bathroom,price,address,listRooms(),openDoor(),GDP,ink,horsePower,drive(),shutdown()
Mineral,texture,size,weight,luster,hardness,polish(),mine(),fuel type,power,modelNumber,sleep(),shutdown()
Computer,weight,RAM,CPU,storage,price,bootUp(),shutdown(),occupation,author,population,swim(),dance()
Person,name,age,height,weight,occupation,walk(),sleep(),CPU,squareFeet,price,decode(),extract()
Bag,color,material,size,brand,carriedItems,carry(),open(),horsePower,memory,restart(),fertilize(),rewind()
Plant,type,age,height,soil,sunlight,water(),fertilize(),brand,ISBN,luster,turnOn(),park()
Shirt,size,color,material,brand,iron(),wear(),wash(),soil,gender,teleport(),watch(),prune()
Pen,inkColor,tipSize,brand,inkLeft,penType,write(),refillInk(),GPU,gender,memory,sleep(),explode()
